player,player name,action_sequences_performed,assists,blocks_on_shots,dangerous_shots,defensive_role_pct,fouls_total,goals,goals_from_own_shots,goals_pct,interception_self_followup_rate,interceptions_total,interceptions_with_self_followup,offensive_role_pct,orphan_saves,passes_not_leading_to_shots,passing_accuracy,passing_accuracy_successful,passing_accuracy_total,passing_accuracy_unsuccessful,raw_assists,raw_blocks,raw_clearances,raw_dribbles,raw_fouls,raw_goals,raw_interceptions,raw_own_goals,raw_passes,raw_saves,raw_shots,raw_tackles,raw_total_events,role,saves_on_shots,shot_conversion,shot_creating_actions,shot_prevention_rate,shots_blocked,shots_blocked_pct,shots_leading_to_others_goals,shots_off_target,shots_off_target_pct,shots_on_target,shots_on_target_prevented,shots_saved,shots_saved_pct,shots_total,tackle_self_followup_rate,tackles_total,tackles_with_self_followup,total_defensive_actions,total_offensive_actions,valid_key_passes
7,Ronnie Deano,1,,,1,39.130434782608695,,,,0.0,0.5,2,1,60.86956521739131,,11,0.6666666666666666,8,12,4,,1,,,,,2,,12,,2,6,23,attacking midfielder,,0.0,1,0.0,,0.0,,1,50.0,1,0,1,50.0,2,0.16666666666666666,6,1,9,14,1
8,Christian Ronald,1,,,1,18.91891891891892,1,,,0.0,0.0,1,,81.08108108108108,,25,0.76,19,25,6,,3,,2,1,,1,1,25,,3,3,38,attacker,,0.0,,0.0,,0.0,,2,66.66666666666666,1,0,1,33.33333333333333,3,0.0,3,,7,30,
2,Mark O'danna,2,,,6,3.225806451612903,,1,1,12.5,1.0,1,1,96.7741935483871,,14,0.9523809523809523,20,21,1,,,,,,1,1,,21,,8,,31,attacker,,0.125,7,0.0,4,50.0,,2,25.0,6,0,1,12.5,8,0.0,,,1,30,7
3,Newman Junior,,1,,2,10.0,,,,0.0,0.0,,,90.0,,22,0.7916666666666666,19,24,5,1,1,1,,,,,,23,,3,2,31,attacker,,0.0,2,0.0,2,66.66666666666666,,1,33.33333333333333,2,0,,0.0,3,0.0,2,,3,27,2
1,Cillian McBappeh,1,1,1,3,20.0,,,,0.0,0.0,1,,80.0,,17,0.7894736842105263,15,19,4,1,2,1,,,,1,,18,,5,3,31,attacker,,0.0,2,0.02857142857142857,,0.0,,2,40.0,3,1,3,60.0,5,0.0,3,,6,24,2
4,Bruce Ferdinand,1,,,0,35.0,,,,0.0,0.5,2,1,65.0,,13,0.6923076923076923,9,13,4,,5,,,,,2,,13,,,,20,attacking midfielder,,0.0,,0.0,,0.0,,,0.0,,0,,0.0,,0.0,,,7,13,
12,Jimmy Dean J'Dan,2,,3,1,25.806451612903224,1,,,0.0,1.0,1,1,74.19354838709677,,22,0.8181818181818182,18,22,4,,4,2,,1,,1,1,22,,1,3,34,attacking midfielder,,0.0,,0.07692307692307693,,0.0,,,0.0,1,3,1,100.0,1,0.0,3,,8,23,
10,John-Luke Boffin,2,,,0,0.0,,,,0.0,0.25,4,1,0.0,3,20,1.0,20,20,,,,,,,,4,,20,9,,,33,goalkeeper,6,0.0,,0.15,,0.0,,,0.0,,6,,0.0,,0.0,,,13,20,
16,John Bullingham,1,,,0,26.923076923076923,2,,,0.0,0.5,4,2,73.07692307692307,,18,1.0,18,18,,,2,4,,2,,4,,18,,1,1,32,attacking midfielder,,0.0,,0.0,,0.0,,1,100.0,,0,,0.0,1,0.0,1,,7,19,
5,Pelly,1,,,3,19.047619047619047,1,1,1,33.33333333333333,0.0,2,,80.95238095238095,,12,0.9230769230769231,12,13,1,,1,,,1,1,2,,13,,3,1,22,attacker,,0.3333333333333333,1,0.0,,0.0,,1,33.33333333333333,2,0,2,66.66666666666666,3,0.0,1,,4,17,1
6,Peter Check,5,,,0,0.0,,,,0.0,0.6666666666666666,6,4,0.0,3,34,0.9705882352941176,33,34,1,,,,,,,6,,34,7,,,47,goalkeeper,4,0.0,,0.1,,0.0,,,0.0,,4,,0.0,,0.0,,,13,34,
11,Rodney,4,1,1,4,25.925925925925924,1,2,2,25.0,1.0,2,2,74.07407407407408,,8,1.0,10,10,,1,1,1,,1,2,2,,9,,8,4,29,attacking midfielder,,0.25,2,0.03125,1,12.5,,4,50.0,4,1,1,12.5,8,0.25,4,1,7,20,2
13,Robert Lennon-Downson,1,,,0,15.0,1,,,0.0,0.0,1,,85.0,,13,0.8666666666666667,13,15,2,,1,,1,1,,1,,15,,1,1,21,attacker,,0.0,2,0.0,,0.0,1,,0.0,1,0,,0.0,1,0.0,1,,3,17,2
15,Liam Yarn-Hall,2,,3,2,12.121212121212121,,1,1,33.33333333333333,0.0,,,87.87878787878788,,24,0.9583333333333334,23,24,1,,3,,1,,1,,,24,,3,1,33,attacker,,0.3333333333333333,,0.08108108108108109,1,33.33333333333333,,1,33.33333333333333,2,3,,0.0,3,0.0,1,,4,29,
14,Paddy Veers,,,,0,50.0,,,,0.0,0.0,,,50.0,,1,1.0,1,1,,,1,,,,,,,1,,,,2,defensive midfielder,,0.0,,0.0,,0.0,,,0.0,,0,,0.0,,0.0,,,1,1,
9,Lionel Massey,1,,,0,0.0,1,,,0.0,0.0,,,100.0,,7,0.7777777777777778,7,9,2,,,,1,1,,,,9,,2,,13,attacker,,0.0,2,0.0,,0.0,,2,100.0,,0,,0.0,2,0.0,,,0,12,2
